arch,optimizer,seed,rep,block_size,d_full,analysis_role,is_formal_inference,kinematic_R,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,geo_k_used_obs,geo_null_k_min,geo_null_k_median,geo_null_k_max,geo_null_k_near_complete_frac,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,elapsed_sec
mlp2_mnist,sgd,42,0,1,203530,block_diagnostic,False,1.2617417447650972,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,13.224421977996826
mlp2_mnist,sgd,42,0,5,203530,block_diagnostic,False,1.2617417447650972,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.515608072280884
mlp2_mnist,sgd,42,0,10,203530,block_diagnostic,False,1.2617417447650972,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.471212387084961
mlp2_mnist,sgd,42,0,20,203530,block_diagnostic,False,1.2617417447650972,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.421940326690674
mlp2_mnist,sgd,1042,1,1,203530,block_diagnostic,False,1.257476539702929,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,12.98626446723938
mlp2_mnist,sgd,1042,1,5,203530,block_diagnostic,False,1.257476539702929,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.480805158615112
mlp2_mnist,sgd,1042,1,10,203530,block_diagnostic,False,1.257476539702929,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.458211421966553
mlp2_mnist,sgd,1042,1,20,203530,block_diagnostic,False,1.257476539702929,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.43543004989624
mlp2_mnist,sgd,2042,2,1,203530,block_diagnostic,False,1.2665354807421163,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,13.043531894683838
mlp2_mnist,sgd,2042,2,5,203530,block_diagnostic,False,1.2665354807421163,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.501141548156738
mlp2_mnist,sgd,2042,2,10,203530,block_diagnostic,False,1.2665354807421163,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.465890884399414
mlp2_mnist,sgd,2042,2,20,203530,block_diagnostic,False,1.2665354807421163,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.440711498260498
mlp2_mnist,sgd_momentum,142,0,1,203530,block_diagnostic,False,1.3451950672776989,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,12.84482717514038
mlp2_mnist,sgd_momentum,142,0,5,203530,block_diagnostic,False,1.3451950672776989,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.627770900726318
mlp2_mnist,sgd_momentum,142,0,10,203530,block_diagnostic,False,1.3451950672776989,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.592384338378906
mlp2_mnist,sgd_momentum,142,0,20,203530,block_diagnostic,False,1.3451950672776989,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.542558908462524
mlp2_mnist,sgd_momentum,1142,1,1,203530,block_diagnostic,False,1.343287223907115,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,12.799187898635864
mlp2_mnist,sgd_momentum,1142,1,5,203530,block_diagnostic,False,1.343287223907115,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.607999324798584
mlp2_mnist,sgd_momentum,1142,1,10,203530,block_diagnostic,False,1.343287223907115,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.589569091796875
mlp2_mnist,sgd_momentum,1142,1,20,203530,block_diagnostic,False,1.343287223907115,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.553942680358887
mlp2_mnist,sgd_momentum,2142,2,1,203530,block_diagnostic,False,1.3342586499365732,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,12.803184986114502
mlp2_mnist,sgd_momentum,2142,2,5,203530,block_diagnostic,False,1.3342586499365732,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.623104572296143
mlp2_mnist,sgd_momentum,2142,2,10,203530,block_diagnostic,False,1.3342586499365732,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.608459711074829
mlp2_mnist,sgd_momentum,2142,2,20,203530,block_diagnostic,False,1.3342586499365732,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.544928789138794
mlp2_mnist,adam,242,0,1,203530,block_diagnostic,False,1.7797662794112392,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,12.89477801322937
mlp2_mnist,adam,242,0,5,203530,block_diagnostic,False,1.7797662794112392,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.48456883430481
mlp2_mnist,adam,242,0,10,203530,block_diagnostic,False,1.7797662794112392,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.482630729675293
mlp2_mnist,adam,242,0,20,203530,block_diagnostic,False,1.7797662794112392,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.429875373840332
mlp2_mnist,adam,1242,1,1,203530,block_diagnostic,False,2.1174750143598615,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,48,24.0,48.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,14.153615474700928
mlp2_mnist,adam,1242,1,5,203530,block_diagnostic,False,2.1174750143598615,0.0,0.0,0.008923649787902832,0.0,1.0,0.0,0.0,-0.008923649787902832,0.995,True,True,False,False,False,False,48,12.0,48.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,13.775601148605347
mlp2_mnist,adam,1242,1,10,203530,block_diagnostic,False,2.1174750143598615,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,48,12.0,24.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,13.774911403656006
mlp2_mnist,adam,1242,1,20,203530,block_diagnostic,False,2.1174750143598615,0.0,0.0,0.02632761001586914,0.0,1.0,0.0,0.0,-0.02632761001586914,0.94,True,True,False,False,False,False,48,12.0,48.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,14.170114278793335
mlp2_mnist,adam,2242,2,1,203530,block_diagnostic,False,1.8391112808201417,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,12.846431255340576
mlp2_mnist,adam,2242,2,5,203530,block_diagnostic,False,1.8391112808201417,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.45365834236145
mlp2_mnist,adam,2242,2,10,203530,block_diagnostic,False,1.8391112808201417,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.449921131134033
mlp2_mnist,adam,2242,2,20,203530,block_diagnostic,False,1.8391112808201417,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.429723262786865
mlp2_mnist,adamw,342,0,1,203530,block_diagnostic,False,2.2886616231410697,0.0,0.0,0.0069810450077056885,0.0,1.0,0.0,0.0,-0.0069810450077056885,0.985,True,True,False,False,False,False,48,24.0,48.0,96.0,0.0,0.0,0.0,0.007161617279052734,0.0,1.0,0.0,0.0,-0.007161617279052734,0.99,True,True,False,False,False,False,matched_step_non_detection,13.778443336486816
mlp2_mnist,adamw,342,0,5,203530,block_diagnostic,False,2.2886616231410697,0.0,0.0,0.05390644073486328,0.0,1.0,0.0,0.0,-0.05390644073486328,0.99,True,True,False,False,False,False,48,12.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,12.962344884872437
mlp2_mnist,adamw,342,0,10,203530,block_diagnostic,False,2.2886616231410697,0.0,0.0,0.01773703098297119,0.0,1.0,0.0,0.0,-0.01773703098297119,0.98,True,True,False,False,False,False,48,12.0,24.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,12.986478567123413
mlp2_mnist,adamw,342,0,20,203530,block_diagnostic,False,2.2886616231410697,0.0,0.0,0.037773847579956055,0.0,1.0,0.0,0.0,-0.037773847579956055,0.985,True,True,False,False,False,False,48,12.0,48.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,13.487264394760132
mlp2_mnist,adamw,1342,1,1,203530,block_diagnostic,False,2.2420301447014643,0.0,0.0,0.0022402703762054443,0.0,1.0,0.0,0.0,-0.0022402703762054443,0.965,True,True,False,False,False,False,24,24.0,48.0,48.0,0.0,0.0,0.0,0.0019073486328125,0.0,1.0,0.0,0.0,-0.0019073486328125,0.97,True,True,False,False,False,False,matched_step_non_detection,13.639293670654297
mlp2_mnist,adamw,1342,1,5,203530,block_diagnostic,False,2.2420301447014643,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,24,12.0,24.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,12.78381061553955
mlp2_mnist,adamw,1342,1,10,203530,block_diagnostic,False,2.2420301447014643,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,24,12.0,24.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,13.263057470321655
mlp2_mnist,adamw,1342,1,20,203530,block_diagnostic,False,2.2420301447014643,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,24,12.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,12.902894258499146
mlp2_mnist,adamw,2342,2,1,203530,block_diagnostic,False,2.333590152924058,0.0001964569091796875,0.0,0.01698833703994751,196456909.1796875,0.01990049751243781,98.5,196.4569091796875,-0.016791880130767822,0.96,True,True,False,False,True,True,48,12.0,48.0,96.0,0.0,0.0,0.0,0.0020627975463867188,0.0,1.0,0.0,0.0,-0.0020627975463867188,0.97,True,True,False,False,False,False,matched_step_trigger,13.821311235427856
mlp2_mnist,adamw,2342,2,5,203530,block_diagnostic,False,2.333590152924058,0.0001964569091796875,0.0,0.17332035303115845,196456909.1796875,0.04975124378109453,95.5,196.4569091796875,-0.17312389612197876,0.955,True,True,False,False,True,True,48,12.0,48.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_trigger,13.662306785583496
mlp2_mnist,adamw,2342,2,10,203530,block_diagnostic,False,2.333590152924058,0.0001964569091796875,0.0,0.07006394863128662,196456909.1796875,0.04477611940298507,96.0,196.4569091796875,-0.06986749172210693,0.96,True,True,False,False,True,True,48,12.0,24.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_trigger,13.273879051208496
mlp2_mnist,adamw,2342,2,20,203530,block_diagnostic,False,2.333590152924058,0.0001964569091796875,0.0,0.019791781902313232,196456909.1796875,0.01990049751243781,98.5,196.4569091796875,-0.019595324993133545,0.98,True,True,False,False,True,True,48,12.0,48.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_trigger,13.756221294403076
smallcnn_cifar10,sgd,10042,0,1,321290,block_diagnostic,False,1.971409494730726,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,12.073326110839844
smallcnn_cifar10,sgd,10042,0,5,321290,block_diagnostic,False,1.971409494730726,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.828253746032715
smallcnn_cifar10,sgd,10042,0,10,321290,block_diagnostic,False,1.971409494730726,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.747981309890747
smallcnn_cifar10,sgd,10042,0,20,321290,block_diagnostic,False,1.971409494730726,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.702694177627563
smallcnn_cifar10,sgd,11042,1,1,321290,block_diagnostic,False,2.0229271016983743,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,12.012038946151733
smallcnn_cifar10,sgd,11042,1,5,321290,block_diagnostic,False,2.0229271016983743,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.754935503005981
smallcnn_cifar10,sgd,11042,1,10,321290,block_diagnostic,False,2.0229271016983743,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.698798656463623
smallcnn_cifar10,sgd,11042,1,20,321290,block_diagnostic,False,2.0229271016983743,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.649807453155518
smallcnn_cifar10,sgd,12042,2,1,321290,block_diagnostic,False,1.955401023480538,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,11.820552587509155
smallcnn_cifar10,sgd,12042,2,5,321290,block_diagnostic,False,1.955401023480538,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.764647722244263
smallcnn_cifar10,sgd,12042,2,10,321290,block_diagnostic,False,1.955401023480538,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.748456239700317
smallcnn_cifar10,sgd,12042,2,20,321290,block_diagnostic,False,1.955401023480538,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.694315433502197
smallcnn_cifar10,sgd_momentum,10142,0,1,321290,block_diagnostic,False,4.07059593520255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,11.765934228897095
smallcnn_cifar10,sgd_momentum,10142,0,5,321290,block_diagnostic,False,4.07059593520255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.742998123168945
smallcnn_cifar10,sgd_momentum,10142,0,10,321290,block_diagnostic,False,4.07059593520255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.72844648361206
smallcnn_cifar10,sgd_momentum,10142,0,20,321290,block_diagnostic,False,4.07059593520255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.691559791564941
smallcnn_cifar10,sgd_momentum,11142,1,1,321290,block_diagnostic,False,4.104092807785076,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,11.85995078086853
smallcnn_cifar10,sgd_momentum,11142,1,5,321290,block_diagnostic,False,4.104092807785076,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.814586162567139
smallcnn_cifar10,sgd_momentum,11142,1,10,321290,block_diagnostic,False,4.104092807785076,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.71047067642212
smallcnn_cifar10,sgd_momentum,11142,1,20,321290,block_diagnostic,False,4.104092807785076,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.692962408065796
smallcnn_cifar10,sgd_momentum,12142,2,1,321290,block_diagnostic,False,4.100032562517629,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,11.91494369506836
smallcnn_cifar10,sgd_momentum,12142,2,5,321290,block_diagnostic,False,4.100032562517629,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,11.74249529838562
