source_csv,seed,k,pct,block_size_normalized,n_nulls,n_rows,raw_pperm_triggers,formal_triggers,block_diagnostic_triggers,source_formal_trigger_mismatches
results/circle_noise_robustness/analysis_summary.csv,,,,,,2,0,0,0,0
results/circle_noise_robustness/per_k_summary.csv,,6.0,,,,2,0,0,0,0
results/circle_noise_robustness/per_k_summary.csv,,8.0,,,,2,0,0,0,0
results/circle_noise_robustness/per_k_summary.csv,,10.0,,,,2,0,0,0,0
results/circle_noise_robustness/per_k_summary.csv,,12.0,,,,2,0,0,0,0
results/circle_noise_robustness/per_k_summary.csv,,14.0,,,,2,0,0,0,0
results/circle_noise_robustness/per_k_summary.csv,,16.0,,,,2,0,0,0,0
results/circle_noise_robustness/per_k_summary.csv,,20.0,,,,2,0,0,0,0
results/circle_noise_robustness/raw_results.csv,101.0,6.0,98.5,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,101.0,6.0,99.0,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,101.0,8.0,0.0,,,1,0,0,0,0
results/circle_noise_robustness/raw_results.csv,101.0,8.0,98.5,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,101.0,10.0,98.0,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,101.0,10.0,99.0,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,101.0,12.0,99.5,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,101.0,12.0,100.0,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,101.0,14.0,99.5,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,101.0,14.0,100.0,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,101.0,16.0,100.0,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,101.0,20.0,99.5,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,202.0,6.0,0.0,,,1,0,0,0,0
results/circle_noise_robustness/raw_results.csv,202.0,6.0,99.0,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,202.0,8.0,99.5,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,202.0,10.0,99.5,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,202.0,12.0,100.0,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,202.0,14.0,99.0,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,202.0,16.0,100.0,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,202.0,20.0,100.0,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,303.0,6.0,100.0,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,303.0,8.0,99.0,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,303.0,10.0,99.0,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,303.0,12.0,99.0,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,303.0,12.0,99.5,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,303.0,14.0,98.0,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,303.0,14.0,98.5,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,303.0,16.0,99.0,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,303.0,20.0,100.0,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,404.0,6.0,98.0,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,404.0,6.0,98.5,,,1,1,1,0,0
results/circle_noise_robustness/raw_results.csv,404.0,8.0,98.0,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,404.0,10.0,99.5,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,404.0,12.0,99.0,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,404.0,14.0,99.5,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,404.0,16.0,100.0,,,2,2,2,0,0
results/circle_noise_robustness/raw_results.csv,404.0,20.0,99.0,,,2,2,2,0,0
results/curvature_sweep/curvature_sweep_results.csv,,,,,,8,0,0,0,0
results/curvature_sweep/curvature_sweep_summary.csv,,,,,,1,0,0,0,0
results/forced_recurrence_positive_control/forced_recurrence_results.csv,,,100.0,,,1,1,1,0,0
results/four_archetype_validation/results_corrected.csv,,,,,,4,0,0,0,0
results/k_sensitivity_transition/analysis_summary.csv,,,,,,4,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,100.0,6.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,100.0,6.0,98.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,100.0,8.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,100.0,8.0,99.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,100.0,10.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,100.0,10.0,98.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,100.0,12.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,100.0,12.0,99.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,100.0,14.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,100.0,14.0,99.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,100.0,16.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,100.0,16.0,99.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,100.0,20.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,100.0,20.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,200.0,6.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,200.0,6.0,98.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,200.0,8.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,200.0,8.0,99.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,200.0,10.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,200.0,10.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,200.0,12.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,200.0,12.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,200.0,14.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,200.0,14.0,100.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,200.0,16.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,200.0,16.0,100.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,200.0,20.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,200.0,20.0,100.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,300.0,6.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,300.0,6.0,98.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,300.0,8.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,300.0,8.0,99.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,300.0,10.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,300.0,10.0,99.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,300.0,12.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,300.0,12.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,300.0,14.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,300.0,14.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,300.0,16.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,300.0,16.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,300.0,20.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,300.0,20.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,400.0,6.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,400.0,6.0,98.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,400.0,8.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,400.0,8.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,400.0,10.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,400.0,10.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,400.0,12.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,400.0,12.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,400.0,14.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,400.0,14.0,100.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,400.0,16.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,400.0,16.0,100.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,400.0,20.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,400.0,20.0,100.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,500.0,6.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,500.0,6.0,99.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,500.0,8.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,500.0,8.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,500.0,10.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,500.0,10.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,500.0,12.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,500.0,12.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,500.0,14.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,500.0,14.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,500.0,16.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,500.0,16.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,500.0,20.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,500.0,20.0,99.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,6.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,6.0,98.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,8.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,8.0,99.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,10.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,10.0,98.5,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,12.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,12.0,99.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,14.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,14.0,99.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,16.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,16.0,100.0,,,2,2,2,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,20.0,0.0,,,2,0,0,0,0
results/k_sensitivity_transition/raw_results.csv,600.0,20.0,100.0,,,2,2,2,0,0
results/k_sensitivity_transition/transition_summary.csv,100.0,,,,,4,0,0,0,0
results/k_sensitivity_transition/transition_summary.csv,200.0,,,,,4,0,0,0,0
results/k_sensitivity_transition/transition_summary.csv,300.0,,,,,4,0,0,0,0
results/k_sensitivity_transition/transition_summary.csv,400.0,,,,,4,0,0,0,0
results/k_sensitivity_transition/transition_summary.csv,500.0,,,,,4,0,0,0,0
results/k_sensitivity_transition/transition_summary.csv,600.0,,,,,4,0,0,0,0
results/manifold_benchmarks/manifold_results.csv,,,,,,4,0,0,0,0
results/projection_budget_sensitivity/results_corrected_long.csv,,,0.0,,,20,0,0,0,0
results/projection_budget_sensitivity/results_corrected_long.csv,,,100.0,,,25,25,25,0,0
results/projection_budget_sensitivity/results_corrected_wide.csv,,,,,,15,0,0,0,0
results/resnet_positive_controls/positive_control_drift_0.00_corrected.csv,,,,1.0,200.0,7,0,0,0,0
results/resnet_positive_controls/positive_control_drift_0.00_corrected.csv,,,,5.0,50.0,7,0,0,0,0
results/resnet_positive_controls/positive_control_drift_0.00_corrected.csv,,,,10.0,50.0,7,0,0,0,0
results/resnet_positive_controls/positive_control_drift_0.00_corrected.csv,,,,20.0,50.0,7,0,0,0,0
results/resnet_positive_controls/positive_control_drift_1.00_corrected.csv,,,,1.0,200.0,7,0,0,0,0
results/resnet_positive_controls/positive_control_drift_1.00_corrected.csv,,,,5.0,50.0,7,0,0,0,0
results/resnet_positive_controls/positive_control_drift_1.00_corrected.csv,,,,10.0,50.0,7,0,0,0,0
results/resnet_positive_controls/positive_control_drift_1.00_corrected.csv,,,,20.0,50.0,7,0,0,0,0
results/synthetic_validation/synthetic_validation_results.csv,,,,,,2,0,0,0,0
results/transition_focused_robustness/analysis_summary.csv,,,,,,6,0,0,0,0
results/transition_focused_robustness/per_k_summary.csv,,6.0,,,,6,0,0,0,0
results/transition_focused_robustness/per_k_summary.csv,,8.0,,,,6,0,0,0,0
results/transition_focused_robustness/per_k_summary.csv,,10.0,,,,6,0,0,0,0
results/transition_focused_robustness/per_k_summary.csv,,12.0,,,,6,0,0,0,0
results/transition_focused_robustness/per_k_summary.csv,,14.0,,,,6,0,0,0,0
results/transition_focused_robustness/per_k_summary.csv,,16.0,,,,6,0,0,0,0
results/transition_focused_robustness/per_k_summary.csv,,20.0,,,,6,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,6.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,6.0,99.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,101.0,8.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,8.0,98.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,101.0,8.0,99.0,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,101.0,10.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,10.0,99.0,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,101.0,10.0,99.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,101.0,12.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,12.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,101.0,14.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,14.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,101.0,16.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,16.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,101.0,20.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,20.0,99.5,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,202.0,6.0,0.0,,,5,0,0,0,0
results/transition_focused_robustness/raw_results.csv,202.0,6.0,98.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,202.0,8.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,202.0,8.0,99.0,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,202.0,8.0,99.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,202.0,10.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,202.0,10.0,99.5,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,202.0,12.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,202.0,12.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,202.0,14.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,202.0,14.0,99.0,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,202.0,14.0,99.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,202.0,16.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,202.0,16.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,202.0,20.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,202.0,20.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,303.0,6.0,0.0,,,6,0,0,0,0
results/transition_focused_robustness/raw_results.csv,303.0,8.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,303.0,8.0,99.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,303.0,10.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,303.0,10.0,98.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,303.0,10.0,99.0,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,303.0,12.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,303.0,12.0,99.5,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,303.0,14.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,303.0,14.0,98.5,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,303.0,16.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,303.0,16.0,99.0,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,303.0,16.0,99.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,303.0,20.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,303.0,20.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,404.0,6.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,404.0,6.0,98.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,404.0,6.0,99.0,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,404.0,8.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,404.0,8.0,99.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,404.0,10.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,404.0,10.0,99.5,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,404.0,12.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,404.0,12.0,99.5,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,404.0,14.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,404.0,14.0,99.5,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,404.0,16.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,404.0,16.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,404.0,20.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,404.0,20.0,99.0,,,2,2,2,0,0
