dataset,radius,k,k_used,seed,N,SUBSAMPLE,N_NULLS,NOISE,GEODESIC_MAX_K,GEODESIC_PCT,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
circle_r2_noise01,2.0,6,6,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.235045112669468,0.6796178594231606,1.776605412364006,1.8172640632427175,0.01990049751243781,98.5,1.979407574520123,-0.5415602996945381,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,6,6,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,0.047184549272060394,0.6515903100371361,1.5328339710831642,0.07241444285643044,1.0,0.0,-2.273655936312392,-1.4856494218111038,0.0,False,False,False,False,False,False
circle_r2_noise01,2.0,6,6,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.248697865754366,0.7047068364918232,1.2194695994257927,1.7719394804921589,0.004975124378109453,100.0,1.981513123528581,0.029228266328573227,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,6,6,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2459425032138824,0.6340004093945026,1.7449471801519394,1.965207726603592,0.024875621890547265,98.0,2.5655099136632136,-0.49900467693805695,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,8,8,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.235547013580799,0.6802240014076233,1.4080175012350082,1.8163825607773327,0.01990049751243781,98.5,1.9884472555924186,-0.17247048765420914,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,8,8,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.248562440276146,0.724499549716711,1.6381652802228928,1.723344673937516,0.009950248756218905,99.5,1.7584197497526772,-0.3896028399467468,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,8,8,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.248603817075491,0.6367882490158081,1.3212388753890991,1.9607833828644252,0.014925373134328358,99.0,2.168142110968766,-0.07263505831360817,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,8,8,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2485608085989952,0.6524189934134483,1.3998570889234543,1.9137407420722476,0.024875621890547265,98.0,2.3244296096788823,-0.15129628032445908,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,10,10,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2496593743562698,0.6129439137876034,1.4298076182603836,2.0387825806640794,0.024875621890547265,98.0,2.601130866153989,-0.18014824390411377,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,10,10,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2579982727766037,0.6367770917713642,1.4080185890197754,1.9755708693526846,0.009950248756218905,99.5,2.0449787349802877,-0.1500203162431717,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,10,10,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2418281883001328,0.6241739988327026,1.3807392418384552,1.9895545002203632,0.014925373134328358,99.0,2.60797916514672,-0.13891105353832245,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,10,10,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2403812110424042,0.6246478259563446,1.2800320088863373,1.98572885312036,0.009950248756218905,99.5,2.4658374956414355,-0.039650797843933105,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,12,12,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2404019422829151,0.6340669170022011,1.2418137937784195,1.9562634621365256,0.009950248756218905,99.5,2.1095175743569836,-0.0014118514955043793,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,12,12,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2514532804489136,0.5881252437829971,1.2235476523637772,2.12786867028027,0.004975124378109453,100.0,2.754788230287597,0.027905628085136414,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,12,12,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.241696648299694,0.5565402880311012,1.2573866993188858,2.231099302245075,0.014925373134328358,99.0,2.5771765273929477,-0.015690051019191742,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,12,12,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2422470897436142,0.5853661745786667,1.2980259209871292,2.1221709481857802,0.014925373134328358,99.0,2.611600108030155,-0.055778831243515015,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,14,14,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2373144924640656,0.5334045812487602,1.2382119297981262,2.3196547910500755,0.009950248756218905,99.5,3.080295001554254,-0.0008974373340606689,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,14,14,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2482373714447021,0.5373924225568771,1.3752433806657791,2.322766974464116,0.014925373134328358,99.0,2.8239607462155023,-0.12700600922107697,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,14,14,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2495714165270329,0.5831572189927101,1.6482242047786713,2.142769352462583,0.024875621890547265,98.0,2.398681437048378,-0.3986527882516384,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,14,14,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2471372559666634,0.5657577514648438,1.2876439616084099,2.204366184529345,0.009950248756218905,99.5,2.7313059919243425,-0.04050670564174652,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,16,16,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2484782859683037,0.5361123085021973,1.2361754402518272,2.32876258605963,0.004975124378109453,100.0,2.93792846111164,0.01230284571647644,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,16,16,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2467540614306927,0.564718946814537,1.2410575598478317,2.2077425743569736,0.004975124378109453,100.0,2.79151392009562,0.005696501582860947,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,16,16,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2448294796049595,0.5647376999258995,1.3885590583086014,2.204261340735871,0.014925373134328358,99.0,2.9088857584457375,-0.1437295787036419,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,16,16,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.245205081999302,0.5299307331442833,1.1653619855642319,2.3497506449732977,0.004975124378109453,100.0,2.6995364330233853,0.07984309643507004,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,20,20,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.237398974597454,0.48709502816200256,1.4104264825582504,2.5403646168676723,0.009950248756218905,99.5,3.0359139751842945,-0.17302750796079636,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,20,20,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2398098446428776,0.548968531191349,1.2314676195383072,2.2584351819767057,0.004975124378109453,100.0,2.3492035380917087,0.008342225104570389,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,20,20,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2457749620079994,0.5364816412329674,1.2020166963338852,2.322120397526705,0.004975124378109453,100.0,2.906669505175012,0.04375826567411423,0.0,False,False,False,False,True,True
circle_r2_noise01,2.0,20,20,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.240248903632164,0.4976210668683052,1.3111378252506256,2.4923561042842706,0.014925373134328358,99.0,3.241066574212035,-0.07088892161846161,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,6,6,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.267424713820219,0.6501273699104786,1.8176330626010895,1.9495021629266152,0.014925373134328358,99.0,2.002328313230203,-0.5502083487808704,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,6,6,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2655332200229168,0.651854582130909,1.5612063631415367,1.9414348762939648,0.014925373134328358,99.0,2.466139254241734,-0.2956731431186199,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,6,6,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2680224627256393,0.6859212592244148,1.2120441868901253,1.848641437586538,0.004975124378109453,100.0,1.9662683300525154,0.05597827583551407,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,6,6,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2720145247876644,0.6336714960634708,1.7669777423143387,2.007372167894147,0.01990049751243781,98.5,2.8005639164701486,-0.49496321752667427,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,8,8,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,0.028862912207841873,0.6821080259978771,1.4158917963504791,0.04231428323332672,1.0,0.0,-2.3340431906908043,-1.3870288841426373,0.0,False,False,False,False,False,False
circle_r3_noise01,3.0,8,8,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2626496329903603,0.7216736078262329,1.6371458917856216,1.7496131482372788,0.009950248756218905,99.5,1.784410329794242,-0.3744962587952614,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,8,8,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2681413516402245,0.6327778771519661,1.310286670923233,2.00408610576894,0.014925373134328358,99.0,2.23636279501867,-0.042145319283008575,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,8,8,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2665903344750404,0.6734542511403561,1.37984199821949,1.8807370097203335,0.024875621890547265,98.0,2.228780485718155,-0.11325166374444962,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,10,10,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.271715134382248,0.6166425794363022,1.4376150071620941,2.062321313495269,0.014925373134328358,99.0,2.7251004322579524,-0.1658998727798462,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,10,10,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2733378000557423,0.643033891916275,1.4118052572011948,1.9802032459893335,0.009950248756218905,99.5,2.177264438137248,-0.1384674571454525,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,10,10,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.273520652204752,0.6323108375072479,1.3613173961639404,2.014073738200225,0.014925373134328358,99.0,2.4504825950311018,-0.08779674395918846,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,10,10,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2667655013501644,0.6425425708293915,1.3097185641527176,1.9714888302467757,0.009950248756218905,99.5,2.6248669525584387,-0.04295306280255318,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,12,12,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2633062601089478,0.6340462118387222,1.223868265748024,1.9924513963160362,0.004975124378109453,100.0,2.2308089894895593,0.03943799436092377,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,12,12,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.27637430280447,0.5899952799081802,1.2427963465452194,2.163363583181456,0.004975124378109453,100.0,2.763983597231077,0.03357795625925064,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,12,12,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2727896608412266,0.5443190559744835,1.274237260222435,2.3383154546376086,0.009950248756218905,99.5,2.9088075056709,-0.0014475993812084198,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,12,12,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2581518851220608,0.5862424671649933,1.3005589246749878,2.1461288725878296,0.014925373134328358,99.0,2.7241805038144378,-0.04240703955292702,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,14,14,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2677336558699608,0.5320206210017204,1.2439573407173157,2.382865636825529,0.004975124378109453,100.0,3.206009640580712,0.02377631515264511,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,14,14,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2630730979144573,0.5437561199069023,1.3636957854032516,2.3228669097616557,0.014925373134328358,99.0,2.8118758836971,-0.10062268748879433,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,14,14,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2709369659423828,0.5730192214250565,1.6320699602365494,2.2179656779740102,0.01990049751243781,98.5,2.4198584296824257,-0.36113299429416656,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,14,14,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2720490023493767,0.5718674585223198,1.285761944949627,2.2243773157403828,0.009950248756218905,99.5,2.668569600961642,-0.013712942600250244,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,16,16,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2693632617592812,0.536506898701191,1.2275732830166817,2.3659775201956736,0.004975124378109453,100.0,2.8922151092189594,0.04178997874259949,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,16,16,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2688253410160542,0.5678079798817635,1.2379272729158401,2.234602869227078,0.004975124378109453,100.0,2.756147407262343,0.030898068100214005,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,16,16,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2683726251125336,0.5682601258158684,1.3784280866384506,2.232028198862731,0.014925373134328358,99.0,2.7707622416751208,-0.11005546152591705,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,16,16,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2681829184293747,0.5382527336478233,1.1577329188585281,2.356110501905571,0.004975124378109453,100.0,2.760797422305325,0.11044999957084656,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,20,20,101,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2635507471859455,0.48311561346054077,1.409145548939705,2.615421054460565,0.009950248756218905,99.5,3.121737958779939,-0.14559480175375938,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,20,20,202,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2682799585163593,0.548320583999157,1.2216339334845543,2.3130263490454634,0.004975124378109453,100.0,2.515320392864429,0.04664602503180504,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,20,20,303,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.2658736631274223,0.523322269320488,1.1953697502613068,2.418918011589087,0.004975124378109453,100.0,3.0919190461515083,0.07050391286611557,0.0,False,False,False,False,True,True
circle_r3_noise01,3.0,20,20,404,1200,600,200,0.1,50,95.0,0.05,0.001,5.0,1.267610713839531,0.4971253573894501,1.3308575451374054,2.5498814232562466,0.014925373134328358,99.0,3.3838128399062484,-0.06324683129787445,0.0,False,False,False,False,True,True
